rp_id,x,y,floor
158,239.8101,97.288,1
159,244.4706,92.4706,1
160,143.7647,114.1176,1
161,145.7954,109.5486,1
162,192.3059,111.295,1
163,194.9647,107.0605,1
164,196.0,105.4118,1
165,164.9135,87.4828,1
166,168.5468,84.0478,1
167,170.5882,82.1176,1
168,178.1176,76.4706,1
169,182.5882,72.9412,1
170,186.9945,71.0372,1
171,206.2112,63.2199,1
172,210.7754,61.7339,1
173,215.3396,60.2478,1
174,216.5149,60.7222,1
175,221.2651,60.0327,1
176,226.3529,59.2941,1
177,234.2965,65.3686,1
178,238.2683,68.4059,1
179,238.3529,68.4706,1
180,139.0952,79.2847,1
181,143.1315,76.687,1
182,147.1679,74.0894,1
183,158.8235,66.5882,1
184,163.7929,66.0361,1
185,167.2941,65.6471,1
186,175.6555,60.9304,1
187,179.8362,58.572,1
188,184.0169,56.2137,1
189,190.1581,53.6538,1
190,194.6691,52.0134,1
191,199.1801,50.373,1
192,205.7962,48.3441,1
193,210.416,47.041,1
194,215.0357,45.738,1
195,221.7655,39.9985,1
196,224.0015,35.5263,1
197,225.1765,33.1765,1
198,170.0124,75.2011,1
199,174.1425,72.7552,1
200,178.2725,70.3092,1
201,186.5326,65.4173,1
202,190.1176,63.2941,1
203,194.607,61.5954,1
204,203.5858,58.1981,1
205,207.5294,56.7059,1
206,212.1861,55.5417,1
207,222.5882,52.9412,1
208,180.7099,80.5104,1
209,185.8943,88.5901,1
210,188.4866,92.63,1
211,191.0788,96.6698,1
212,196.2353,104.7059,1
213,185.2132,76.9599,1
214,190.463,84.9972,1
215,193.0879,89.0159,1
216,195.7128,93.0346,1
217,200.9627,101.0719,1
218,203.5876,105.0906,1
219,206.2125,109.1093,1
220,248.7059,107.7647,1
221,249.8302,102.8927,1
222,250.9545,98.0208,1
223,252.2353,92.4706,1
224,256.3594,89.6436,1
225,260.4835,86.8166,1
226,268.7316,81.1626,1
227,272.8557,78.3356,1
228,276.9798,75.5086,1
229,288.0,74.1176,1
230,293.4118,70.5882,1
231,294.1176,65.6471,1
232,290.5882,59.0588,1
233,285.5891,58.9662,1
234,280.5899,58.8737,1
235,270.5917,58.6885,1
236,265.1765,58.5882,1
237,262.1176,53.6471,1
238,245.1765,93.4118,1
239,244.8912,88.4199,1
240,244.606,83.4281,1
241,244.0355,73.4443,1
242,243.7647,68.7059,1
243,252.2353,88.2353,1
244,252.1322,78.2358,1
245,252.0807,73.2361,1
246,252.0,65.4118,1
247,258.5882,60.7059,1
248,265.8824,59.7647,1
249,263.2941,82.8235,1
250,271.5616,77.7503,1
251,273.6471,76.4706,1
252,272.9412,74.5882,1
253,267.3641,66.4086,1
254,265.8824,64.2353,1
255,253.8824,49.6471,1
256,248.4706,41.1765,1
257,252.0,37.8824,1
258,256.1812,35.1406,1
259,264.5437,29.657,1
260,266.3529,28.4706,1
261,269.0449,32.6841,1
262,266.1176,42.1176,1
263,263.0588,43.7647,1
264,212.7059,11.7647,1
265,218.1657,20.1427,1
266,220.8956,24.3317,1
267,223.6255,28.5207,1
268,216.2353,8.4706,1
269,218.9715,12.6554,1
270,221.7078,16.8403,1
271,227.1803,25.21,1
272,229.9165,29.3948,1
273,232.6528,33.5797,1
274,236.2353,39.0588,1
275,241.4118,27.2941,1
276,238.6804,23.1061,1
277,234.3529,16.4706,1
278,238.5253,13.7153,1
279,242.6976,10.96,1
280,251.0422,5.4494,1
281,255.2146,2.694,1
282,259.2941,0.0,1
283,266.9812,7.0021,1
284,269.7271,11.1806,1
285,272.473,15.3591,1
286,271.5154,21.549,1
287,269.8824,22.5882,1
288,272.6282,26.7668,1
289,279.4831,28.0936,1
290,283.6721,25.3637,1
291,287.8611,22.6338,1
292,296.2353,17.1765,1
293,300.4706,18.1176,1
294,296.2601,20.8143,1
